('xref', 0.5189941726928421)
('altatheism', 1.1780939237409587)
('newsanswers', 2.420151254324603)
('altanswers', 3.0968448639494692)
('path', 0.0)
('mathew', 2.1610857602041578)
('newsgroups', 0.0)
('subject', 0.0)
('faq', 1.7143775419336391)
('atheist', 1.9685263866897889)
('resources', 1.889345140642164)
('summary', 1.3574703306992917)
('books', 1.5685710867824256)
('addresses', 2.1050651941961602)
('music', 2.0154075375976204)
('anything', 0.999067129410186)
('related', 1.6735989900126615)
('atheism', 2.088777242201436)
('keywords', 1.1176950029225894)
('fiction', 2.2966434728227516)
('contacts', 2.474890043904568)
('messageid', 0.0)
('mantiscouk', 3.346722337166069)
('date', 0.0)
('mon', 1.0774689056429996)
('mar', 2.3564821744552256)
('gmt', 0.06997977489183999)
('expires', 2.1050651941961602)
('thu', 1.0307519917091514)
('apr', 0.03624144570339419)
('followupto', 1.1535977388116077)
('distribution', 0.6445791275467063)
('world', 0.7785206130990743)
('organization', 0.017912503751003516)
('mantis', 2.474890043904568)
('consultants', 2.3715459208911014)
('cambridge', 1.785091002893715)
('uk', 1.6429534499482816)
('approved', 1.2040548335973378)
('supersedes', 2.6107687665768804)
('lines', 0.001261473240203532)
('archivename', 2.425903583213694)
('lastmodified', 2.5527768195991936)
('december', 2.193754876957526)
('version', 1.1001143485143168)
('organizations', 2.0021117701956874)
('usa', 0.8646431464656609)
('freedom', 1.66850755442067)
('religion', 1.4801068571656941)
('foundation', 2.0604155983227943)
('darwin', 2.885991498634576)
('fish', 2.3924798277267443)
('bumper', 2.657512170119207)
('stickers', 2.885991498634576)
('assorted', 2.958542165783188)
('paraphernalia', 3.6019948422693755)
('available', 1.1735360687537952)
('us', 0.8186630793819514)
('write', 1.4116631440990839)
('ffrf', 3.999934850941413)
('po', 1.7999055843876426)
('box', 1.3700158154378712)
('madison', 2.537536853042457)
('wi', 2.494784872621507)
('telephone', 1.9605207317652757)
('evolution', 2.1486765022223375)
('designs', 2.3614455939867756)
('sell', 1.5113841344409686)
('symbol', 2.576688977004605)
('like', 0.5005914917140446)
('ones', 1.3540215759075687)
('christians', 1.556671863482718)
('stick', 1.8663959425711953)
('cars', 1.6496868326072502)
('feet', 1.9354768617144944)
('word', 1.3182414589368487)
('written', 1.5023142011601252)
('inside', 1.6242712369805277)
('deluxe', 2.584961502970595)
('moulded', 3.6989048552774317)
('plastic', 2.2402670062517824)
('postpaid', 3.6019948422693755)
('laurel', 3.3009648466053942)
('canyon', 2.939237010587801)
('north', 1.635383855587441)
('hollywood', 2.9207536048937883)
('ca', 1.2810181649265517)
('people', 0.6435265239024317)
('san', 1.5360418619555056)
('francisco', 2.036147023595858)
('bay', 2.07051592522712)
('area', 1.3674775587566887)
('get', 0.5735049257474852)
('lynn', 2.63820701492382)
('gold', 2.2675410911184444)
('try', 1.0576787005219481)
('mailing', 1.9280528436352875)
('figmonetcomcom', 3.999934850941413)
('net', 1.2414014287041264)
('go', 0.8507157382860331)
('directly', 1.5824631577381199)
('price', 1.3476885099380898)
('per', 1.5512285310363332)
('american', 1.390874301011326)
('press', 1.5543306476678154)
('aap', 3.221783600557769)
('publish', 2.4684559338991576)
('various', 1.5489163987859556)
('critiques', 3.346722337166069)
('bible', 1.5489163987859556)
('lists', 2.0579267979191)
('biblical', 1.9829015116426325)
('contradictions', 2.6674963910258076)
('one', 0.4238815899547435)
('book', 1.3554962614735744)
('handbook', 2.5228135962217504)
('wp', 2.8238435918857316)
('ball', 1.9507168282712313)
('gw', 2.9030248379333567)
('foote', 3.5228135962217504)
('pp', 2.1610857602041578)
('isbn', 2.5527768195991936)
('nd', 1.8553606433317966)
('edition', 2.12777857819312)
('absurdities', 2.885991498634576)
('atrocities', 2.474890043904568)
('immoralities', 3.8238435918857316)
('contains', 1.8340972262512847)
('contradicts', 2.688180989885659)
('based', 1.3044531744512156)
('king', 1.7772183797938297)
('james', 1.494784872621507)
('austin', 1.8166650072586084)
('tx', 1.8152434201238141)
('cameron', 2.9787455518714747)
('road', 1.5816335596216675)
('fax', 1.3137456166973893)
('prometheus', 3.6989048552774317)
('including', 1.3654575807806812)
